"Forest/Other wooded land (code)","Forest/Other wooded land","FRA categories (code)","FRA categories","Year","Country (code)","Country","Value","Flag"
"1","Other wooded land","4","Carbon in living biomass","1990","81","Brunei Darussalam","1.1",""
"1","Other wooded land","4","Carbon in living biomass","1990","102","China","396.9",""
"1","Other wooded land","4","Carbon in living biomass","1990","7","Congo","561",""
"1","Other wooded land","4","Carbon in living biomass","1990","184","Cayman Islands","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","65","Chad","244",""
"1","Other wooded land","4","Carbon in living biomass","1990","127","Iceland","0.922",""
"1","Other wooded land","4","Carbon in living biomass","1990","149","Hungary","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","7657948","Holy See","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","67","Guinea-Bissau","1.4",""
"1","Other wooded land","4","Carbon in living biomass","1990","643000371","Jersey","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","191","Jamaica","26.46",""
"1","Other wooded land","4","Carbon in living biomass","1990","137","Italy","24.3",""
"1","Other wooded land","4","Carbon in living biomass","1990","7655849","Isle of Man","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","7655146","Gibraltar","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","66","Gambia","6.87",""
"1","Other wooded land","4","Carbon in living biomass","1990","209","French Guiana","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","125","Finland","3.356",""
"1","Other wooded land","4","Carbon in living biomass","1990","643000370","Guernsey","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","174","Guatemala","29.3",""
"1","Other wooded land","4","Carbon in living biomass","1990","113","Guam","0",""
"1","Other wooded land","4","Carbon in living biomass","1990","189","Guadeloupe","0.012",""
"1","Other wooded land","4","Carbon in living biomass","1990","164","Lithuania","0.8",""
"1","Other wooded land","4","Carbon in living biomass","1990","23","Madagascar","1100",""
